Cześć,Hi there
Kopę lat,Long time no see
Co tam?,"What's up?"
Jak leci?,"How's it going?"
W porządku,Fine
Nic nowego,Nothing new
Wszystko po staremu,Same old
A u ciebie?,And you?
Wszystko w porządku?,Are you alright?
Wszystko w porządku?,Everything ok?
Co porabiałeś?,What have you been up to?
Co ostatnio porabiałeś?,What have you been up to?
Właśnie wpadłem na świetny pomysł,I have just had a great idea
Może spotkamy się dzisiaj wieczorem?,Why don\'t we meet up tonight?
Dlaczego nie spotkać się dziś wieczorem?,Why don\'t we meet up tonight?
To brzmi dobrze,That sounds good
To dobry pomysł,That is a good idea
Co porabiasz dziś wieczorem?,What are you up to tonight?
Czy masz jakieś plany na dzisiejszy wieczór?,Do you have any plans for tonight?
Masz ochotę wyjść na drinka?,Do you fancy a drink tonight?
A może byśmy poszli do kina?,How about going to the cinema?
Jak dla mnie w porządku,That's fine with me
Gdzie chciałbyś się spotkać?,Where would you like to meet?
Bądź na rogu ulicy Richmond o siodmej wieczorem,Meet me on the corner of Richmond Street at 7pm
Spotkaj się ze mną na rogu ulicy Richmond o siodmej wieczorem,Meet me on the corner of Richmond Street at 7pm
Spotkamy się trochę później?,Shall we meet a bit later?
Czy siodmej trzydzieści ci pasuje?,Does 7:30 suit you?
Czy siodmej trzydzieści będzie w porządku?,Is 7:30 ok for you?
"Pasuje mi, dzięki",That suits me thanks
Do zobaczenia później zatem,See you later then
"A, John jest w mieście.","Ah, John is in town"
Przyjść z nim?,Shall I bring him along?
Przyprowadzić go?,Shall I bring him along?
Pewnie,Sure
Do zobaczenia,See you later